	logFC	AveExpr	t	P.Value	adj.P.Val	B	chemistry	mode	database	CustomStds	variable	significance	model_id	JGI_name	model_name	priority	annotation_source
97	3.7508593981756	20.0415089719216	28.1024243950725	7.79921035756699e-10	1.4031464502633e-07	13.3873331130511	C18	POS	EMA	False	peak_height	Up	C00864	pantothenic_acid	Pantothenate	0	
23	4.80290797975623	23.6628228625454	18.8073764724806	2.42574406863722e-08	1.31529233943885e-06	9.99366442206329	HILIC	POS	EMA	False	peak_height	Up	C00380	cytosine	Cytosine	0	
139	3.9902360702114	18.4681619122461	19.14854380501	2.08185479281116e-08	1.31529233943885e-06	10.1503163013746	C18	POS	EMA	True	peak_height	Up	C00466	Acetoin	Acetoin	0	
31	3.35716419137747	20.4144411636604	17.5456971879263	4.37320182922634e-08	2.00006917713215e-06	9.38599270006067	HILIC	NEG	ISTD	False	peak_height	Up	C00095	fructose_unlabeled	D-Fructose	0	
50	5.67210903516795	20.3269857668345	16.5958044492822	7.00364411167404e-08	2.27851888433129e-06	8.89647476864227	HILIC	NEG	EMA	False	peak_height	Up	C00242	guanine	Guanine	0	
115	-2.16551137945496	18.605148497559	-14.790344271005	1.84701815418597e-07	4.29211837734645e-06	7.87897524379631	HILIC	POS	EMA	False	peak_height	Down	C00255	riboflavin	Riboflavin	0	
104	-1.68822608403155	24.187738591951	-14.3022988952068	2.44662084804178e-07	4.77580389537756e-06	7.58189861214726	HILIC	NEG	EMA	False	peak_height	Down	C00079	phenylalanine	L-Phenylalanine (Phe-L)	0	
124	3.64952228853563	18.6464378665553	14.4235121481959	2.27974130062058e-07	4.77580389537756e-06	7.65663054269719	HILIC	POS	EMA	False	peak_height	Up	C00378	thiamine	Thiamine	0	
108	-3.3275574507674	18.9479548256207	-14.1519984750759	2.67267687848635e-07	4.80852025259394e-06	7.48834102801636	HILIC	POS	EMA	False	peak_height	Down	C00134	putrescine	Putrescine	0	
88	2.18844148862835	25.0121599905198	13.6053663499252	3.71346611792462e-07	6.24886712257661e-06	7.13947156163217	C18	POS	EMA	False	peak_height	Up	C00170	methylthioadenosine	5-Methylthioadenosine	0	
